id,little,ring,middle,index,thumb
378,325,368,450,465,523
379,323,376,463,466,525
380,312,374,461,463,522
381,333,377,460,461,520
382,326,374,449,477,521
383,329,370,450,467,523
384,326,368,455,464,524
385,321,372,454,471,523
386,320,353,465,474,515
387,320,369,465,465,525
388,326,378,456,468,517
389,324,365,458,463,522
390,332,367,452,465,522
391,327,372,453,463,526
392,342,367,446,464,531
393,342,385,434,469,521
394,322,358,444,490,524
395,316,368,447,463,523
396,330,369,451,466,523
397,329,370,456,466,522
398,330,369,453,458,523
399,330,372,450,474,532
400,339,381,439,477,525
401,333,364,463,469,522
402,328,370,454,465,523
403,327,371,451,466,523
404,331,369,446,458,523
405,322,374,445,470,518
406,313,352,444,482,516
407,323,379,457,464,523
408,329,370,452,467,526
409,326,371,454,466,524
410,325,375,454,470,522
411,333,373,440,470,525
412,329,369,459,470,529
413,312,375,469,466,517
414,331,369,448,465,525
415,329,369,450,464,524
416,328,370,452,467,524
417,330,366,449,467,523
418,335,352,454,466,521
419,318,384,458,460,521
420,334,379,452,467,520
421,326,371,458,467,524
422,331,372,456,466,525
423,336,378,452,457,523
424,322,373,474,467,511
425,317,355,466,462,523
426,336,382,458,467,520
427,327,370,455,466,522
428,326,369,449,464,523
429,324,365,457,468,523
430,327,369,452,468,522
431,326,375,449,463,525
432,315,364,463,468,520
433,330,372,454,465,522
434,328,370,453,467,523
435,329,374,454,471,523
436,333,360,471,453,517
437,325,375,459,469,525
438,332,374,449,459,530
439,322,367,452,467,521
440,327,369,456,464,523
441,329,375,454,465,523
442,321,362,454,462,522
443,322,376,452,471,518
444,329,369,460,473,519
445,321,372,454,464,522
446,327,371,455,466,524
447,332,372,457,467,524
448,324,378,474,461,521
449,329,375,449,464,524
450,326,349,469,478,516
451,326,372,476,469,521
452,328,369,455,466,522
453,328,367,451,467,524
454,327,371,437,461,531
455,352,375,426,471,532
456,327,371,466,467,517
457,331,362,448,461,524
458,331,370,456,469,522
459,327,371,456,468,524
460,332,369,456,451,524
461,338,384,446,445,527
462,329,374,452,471,528
463,336,376,446,466,529
464,326,370,458,467,520
465,326,370,455,467,523
466,332,369,454,469,521
467,330,360,448,467,520
468,325,369,465,461,516
469,337,372,451,462,524
470,339,379,454,463,523
471,328,369,451,469,523
472,331,371,457,467,527
473,332,374,460,472,526
474,343,359,446,479,529
475,319,367,477,477,512
476,328,361,444,461,519
477,329,371,457,463,522
478,329,369,454,465,522
479,331,365,432,469,528
480,336,372,457,457,519
481,334,386,429,452,524
482,331,369,442,470,526
483,329,371,454,468,523
484,331,372,456,467,524
485,331,365,463,459,527
486,333,377,470,457,523
487,338,374,448,460,525
488,329,365,469,461,519
489,326,365,457,466,522
490,329,372,454,464,522
491,327,371,446,467,524
492,319,369,441,465,520
493,347,372,442,452,523
494,354,367,443,466,533
495,323,369,448,468,524
496,329,374,455,463,523
497,332,372,458,470,522
498,325,363,461,469,519
499,343,374,436,469,528
500,342,363,440,474,532
501,329,374,450,468,524
502,329,368,454,466,522
503,329,370,452,466,523
504,332,376,432,470,521
505,345,367,441,477,527
506,325,392,459,446,516
507,335,360,449,471,520
508,334,372,453,467,524
509,331,373,459,467,523
510,335,376,455,473,521
