id,index,middle,ring,little,thumb
413,570,543,553,528,435
414,567,544,554,536,440
415,572,549,559,532,441
416,575,548,554,518,436
417,559,523,552,564,451
418,558,559,554,544,444
419,569,547,553,528,440
420,569,543,554,534,434
421,568,543,554,530,437
422,577,531,551,521,447
423,568,542,543,520,437
424,573,540,545,555,430
425,580,540,553,564,435
426,566,541,548,550,441
427,569,545,551,539,439
428,570,543,554,535,437
429,563,549,556,529,434
430,582,560,551,538,422
431,562,560,554,512,425
432,569,548,551,525,450
433,567,544,552,542,435
434,570,543,556,532,439
435,570,546,546,530,432
436,568,544,554,534,441
437,567,559,556,512,422
438,558,555,556,522,421
439,568,557,549,530,440
440,567,543,553,536,437
441,570,546,555,535,440
442,568,538,554,531,437
443,569,541,548,544,445
444,569,538,544,550,439
445,564,545,548,530,424
446,568,548,554,546,431
447,568,542,553,528,436
448,568,543,553,534,437
449,571,546,564,549,446
450,569,534,539,528,439
451,571,544,561,520,444
452,566,545,550,544,450
453,569,545,558,545,440
454,569,543,554,531,438
455,572,539,554,535,441
456,563,549,550,533,427
457,572,538,555,552,443
458,580,554,545,540,445
459,570,534,542,521,444
460,571,546,551,532,436
461,568,543,553,530,437
462,562,546,556,535,433
463,563,541,545,516,438
464,578,547,560,508,436
465,552,530,565,551,435
466,570,545,556,534,439
467,569,545,553,539,442
468,568,544,552,536,440
469,570,541,544,544,434
470,578,542,565,536,441
471,566,536,561,544,454
472,578,542,550,526,444
473,567,550,554,533,438
474,564,546,552,525,440
475,567,545,552,531,437
476,572,546,552,530,442
477,573,535,550,551,449
478,565,527,558,541,453
479,574,555,545,514,455
480,568,543,554,531,439
481,570,547,554,535,441
482,568,551,550,544,446
483,572,547,544,522,448
484,573,546,555,564,429
485,569,533,552,542,443
486,563,545,554,540,443
487,570,543,555,524,436
488,568,543,551,531,437
489,559,542,552,526,434
490,577,536,549,536,445
491,573,549,552,512,434
492,557,554,558,513,431
493,571,545,549,522,446
494,572,544,553,541,439
495,569,545,554,535,440
496,563,553,557,514,432
497,567,533,554,551,438
498,561,554,549,527,438
499,571,558,566,522,441
500,568,545,554,529,440
501,567,548,552,532,437
502,572,539,550,531,436
503,568,556,543,520,428
504,573,534,556,526,445
505,569,538,553,531,447
506,563,540,559,530,440
507,568,544,552,529,439
508,569,546,554,530,438
509,565,539,552,530,424
510,568,549,545,536,443
511,564,559,542,529,431
512,571,548,564,532,442
513,559,553,552,550,432
514,569,544,551,532,435
515,566,543,551,534,437
516,570,548,552,538,427
517,583,533,539,532,445
518,559,534,551,536,425
519,561,542,557,532,444
520,572,548,552,532,443
521,572,547,553,538,436
522,568,544,554,534,441
523,556,537,559,552,446
524,575,543,542,517,435
525,546,546,556,545,430
526,564,552,546,524,435
527,568,543,550,536,439
528,564,543,552,528,436
529,571,542,545,532,436
530,565,544,551,528,441
531,563,542,549,531,429
532,569,531,558,535,448
